gene,DNMT3A,FLT3,NPM1,TET2,RUNX1,IDH2,TP53,CEBPA,IDH1,NRAS,WT1,KIT,PTPN11,KRAS,U2AF1,SMC1A,SMC3,BRINP3,PHF6,STAG2,TTN,ASXL1,RAD21,EZH2,PLCE1,CACNA1B,CACNA1E,COL12A1,CROCC,CSMD1,DIS3,DNAH9,FCGBP
DNMT3A,0,21,28,6,2,5,2,3,11,5,2,1,3,4,3,3,6,1,1,0,2,1,3,1,1,1,0,0,1,2,0,0,0
FLT3,21,0,29,5,1,2,0,2,4,2,5,1,2,0,0,4,3,3,1,2,2,0,2,0,0,2,0,2,0,1,0,0,0
NPM1,28,29,0,2,0,4,0,2,9,5,5,1,6,3,1,4,3,2,1,3,2,0,3,0,0,1,0,1,0,1,0,0,0
TET2,6,5,2,0,2,0,1,1,2,2,0,1,0,1,1,1,1,1,0,2,0,0,0,1,0,0,1,0,0,0,1,2,1
RUNX1,2,1,0,2,0,7,0,0,2,1,2,0,0,1,2,0,1,0,3,2,3,4,0,1,1,0,0,0,0,0,2,1,0
IDH2,5,2,4,0,7,0,0,1,1,0,1,0,0,3,1,0,0,0,1,1,1,4,0,0,2,0,0,0,0,0,0,0,1
TP53,2,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
CEBPA,3,2,2,1,0,1,1,0,1,3,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IDH1,11,4,9,2,2,1,0,1,0,2,1,1,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NRAS,5,2,5,2,1,0,2,3,2,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
WT1,2,5,5,0,2,1,0,2,1,1,0,1,1,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1
KIT,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PTPN11,3,2,6,0,0,0,1,1,2,1,1,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
KRAS,4,0,3,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
U2AF1,3,0,1,1,2,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
SMC1A,3,4,4,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMC3,6,3,3,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BRINP3,1,3,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PHF6,1,1,1,0,3,1,0,0,0,0,2,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
STAG2,0,2,3,2,2,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
TTN,2,2,2,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,1,0,0
ASXL1,1,0,0,0,4,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
RAD21,3,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EZH2,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PLCE1,1,0,0,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CACNA1B,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
CACNA1E,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
COL12A1,0,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CROCC,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
CSMD1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
DIS3,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
DNAH9,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
FCGBP,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
